År;Månad;SE1-Fast pris 1 år;SE1-Fast pris 3 år;SE1-Rörligt pris;SE1-Anvisat pris;SE2-Fast pris 1 år;SE2-Fast pris 3 år;SE2-Rörligt pris;SE2-Anvisat pris;SE3-Fast pris 1 år;SE3-Fast pris 3 år;SE3-Rörligt pris;SE3-Anvisat pris;SE4-Fast pris 1 år;SE4-Fast pris 3 år;SE4-Rörligt pris;SE4-Anvisat pris
2018;januari;64.12;63.98;67.81;96.44;63.87;63.76;67.92;94.13;64.95;65.31;68.28;87.59;66.07;66.34;69.38;89.24
2018;februari;66.01;64.29;77.14;98.50;65.82;63.96;77.42;94.16;67.04;65.54;77.96;90.83;68.02;66.58;78.91;89.74
2018;mars;68.82;65.82;85.04;101.73;68.53;65.47;85.81;93.90;69.65;66.93;85.92;92.76;70.85;68.14;86.18;90.84
2018;april;72.52;68.79;79.33;99.61;72.80;69.00;79.76;93.69;73.83;70.37;79.72;91.13;75.13;71.79;80.14;89.77
2018;maj;78.12;73.35;72.49;101.47;78.42;73.71;72.60;95.69;79.62;74.95;73.20;89.73;79.97;75.96;77.20;88.75
2018;juni;83.41;75.49;86.40;101.99;83.25;75.32;86.74;98.14;84.52;76.65;86.85;93.24;85.57;78.36;90.45;96.10
2018;juli;89.94;78.41;97.90;105.63;89.88;78.65;98.12;105.63;91.52;80.47;98.19;97.50;92.94;82.04;99.71;101.44
2018;augusti;88.48;78.06;103.36;100.75;88.86;78.18;103.44;106.33;90.44;79.94;104.54;103.78;91.17;81.38;106.46;108.23
2018;september;97.83;85.25;96.42;105.38;98.08;85.35;96.79;106.84;99.27;86.86;97.70;103.42;100.55;88.46;99.29;110.11
2018;oktober;89.74;82.50;90.90;103.25;89.70;81.84;90.70;105.28;91.16;83.64;91.58;103.81;92.51;85.26;100.17;114.08
2018;november;88.89;80.66;94.77;105.92;88.64;79.94;95.19;109.63;89.70;81.82;97.97;107.81;92.17;84.02;103.32;115.85
2018;december;91.19;82.85;97.62;107.83;91.41;82.73;97.31;111.69;92.42;84.57;98.24;107.97;95.67;87.29;99.73;118.80
2019;januari;94.76;84.16;101.93;115.02;94.74;83.66;102.08;113.91;95.92;85.63;103.05;113.53;98.58;88.04;104.24;121.26
2019;februari;90.18;82.22;93.07;111.22;89.96;81.46;93.02;109.80;90.78;83.15;93.22;109.82;92.87;85.44;94.82;118.11
2019;mars;87.25;80.43;84.73;108.07;87.29;80.27;84.67;106.14;88.34;82.06;84.82;105.55;90.41;84.22;86.09;111.65
2019;april;85.77;80.10;82.80;112.65;85.76;79.91;82.76;110.71;87.20;82.01;82.75;105.07;89.07;84.04;84.32;114.01
2019;maj;87.37;80.86;81.01;112.65;87.31;80.66;81.02;110.22;88.38;82.48;81.07;102.69;90.59;84.90;82.50;112.41
2019;juni;81.14;77.90;62.63;95.46;81.05;77.66;62.68;96.91;82.19;79.55;62.95;94.93;84.38;82.21;67.95;101.30
2019;juli;80.55;78.21;74.55;101.83;80.36;77.92;74.66;102.98;82.12;80.29;74.67;99.01;84.59;83.01;78.66;105.89
2019;augusti;81.24;78.58;79.12;103.71;81.15;78.33;79.29;104.78;82.86;80.81;79.35;100.85;85.22;83.19;82.55;106.28
2019;september;79.00;77.05;75.12;102.05;78.88;76.79;75.23;103.95;80.51;79.38;76.01;97.94;83.22;82.20;79.51;107.13
2019;oktober;78.03;76.88;78.81;104.03;77.96;76.56;78.97;104.80;79.81;79.31;80.41;100.85;82.42;82.13;87.29;107.15
2019;november;81.85;78.36;84.84;107.58;81.76;78.19;84.73;107.71;83.67;81.23;85.23;103.77;86.56;84.03;87.12;106.34
2019;december;78.72;76.50;76.86;102.29;78.67;76.43;76.86;103.45;80.05;78.84;77.71;98.72;83.31;82.08;79.49;102.10
2020;januari;71.82;73.59;59.49;88.22;71.75;73.48;60.13;97.25;73.29;76.21;60.54;90.81;75.82;78.67;64.71;94.87
2020;februari;62.78;67.26;50.93;86.09;62.71;67.23;50.95;90.27;64.19;69.50;54.28;86.69;67.18;72.13;56.03;88.84
2020;mars;61.47;66.60;43.53;80.23;61.39;66.47;43.63;86.09;63.44;68.88;48.05;81.26;66.67;71.56;51.27;87.38
2020;april;57.58;62.28;35.28;69.93;57.28;62.08;34.66;77.58;59.76;64.95;39.43;74.61;62.90;67.80;46.62;83.05
2020;maj;58.23;61.78;40.55;73.99;57.98;61.97;39.42;82.52;60.43;64.17;43.46;76.74;64.10;67.34;45.42;84.63
