År;Månad;SE1-Fast pris 1 år;SE1-Fast pris 3 år;SE1-Rörligt pris;SE1-Anvisat pris;SE2-Fast pris 1 år;SE2-Fast pris 3 år;SE2-Rörligt pris;SE2-Anvisat pris;SE3-Fast pris 1 år;SE3-Fast pris 3 år;SE3-Rörligt pris;SE3-Anvisat pris;SE4-Fast pris 1 år;SE4-Fast pris 3 år;SE4-Rörligt pris;SE4-Anvisat pris
2018;januari;49.39;48.71;50.40;75.09;49.40;48.70;50.59;73.23;50.49;50.17;50.81;71.57;51.82;51.17;51.81;71.07
2018;februari;51.23;48.99;60.75;79.14;51.33;48.84;60.91;74.34;52.55;50.34;61.24;74.73;53.74;51.33;62.32;71.44
2018;mars;54.14;50.56;68.39;82.37;54.15;50.38;69.00;73.25;55.26;51.78;68.81;76.57;56.73;52.93;69.13;72.51
2018;april;57.79;53.53;63.18;80.25;58.14;53.68;63.32;72.86;59.19;55.04;63.23;75.03;60.64;56.32;63.51;71.47
2018;maj;63.84;58.17;56.06;80.64;64.37;58.71;56.04;75.55;65.46;59.86;56.52;73.88;66.20;60.85;60.34;70.45
2018;juni;68.76;60.23;70.44;82.62;68.83;60.29;70.53;76.55;70.09;61.55;70.54;77.25;71.37;63.25;74.04;77.44
2018;juli;75.45;63.34;81.78;86.11;75.40;63.46;81.91;84.53;76.97;65.19;81.91;81.44;78.59;66.69;83.31;82.91
2018;augusti;74.18;62.70;87.01;82.87;74.54;63.00;87.08;86.00;76.11;64.69;88.33;87.50;77.10;66.07;89.63;89.25
2018;september;82.79;69.63;80.30;87.83;82.91;69.59;80.68;86.09;84.27;71.15;81.71;86.90;85.55;72.56;82.78;91.12
2018;oktober;74.51;66.66;74.00;85.70;74.67;66.29;73.89;84.52;76.34;68.11;74.96;87.37;77.70;69.60;83.12;95.09
2018;november;73.80;64.88;78.37;87.02;73.76;64.46;78.47;88.58;74.86;66.26;81.41;91.14;77.22;68.30;86.61;95.99
2018;december;76.16;67.08;81.11;88.93;76.27;66.99;80.79;90.70;77.38;68.76;81.84;91.53;80.39;71.24;83.00;98.02
2019;januari;80.19;68.79;85.98;95.45;80.18;68.45;85.72;92.91;81.39;70.33;86.96;96.98;84.04;72.63;87.68;100.81
2019;februari;75.30;66.54;75.75;91.42;76.16;66.00;75.64;88.08;76.10;67.62;75.95;92.57;77.96;69.70;77.23;96.80
2019;mars;72.26;65.19;66.92;88.27;72.30;64.96;66.96;84.69;73.51;66.68;67.23;88.71;75.30;68.67;68.11;90.89
2019;april;70.55;64.71;64.86;92.21;70.56;64.45;64.90;88.83;72.00;66.39;65.09;88.22;73.59;68.26;66.16;92.70
2019;maj;71.86;65.19;63.63;92.21;71.84;64.95;63.59;88.34;73.01;66.67;63.57;85.79;74.76;68.79;64.78;91.09
2019;juni;65.69;62.29;45.24;74.94;65.67;62.02;45.30;75.83;66.92;63.79;45.54;78.01;68.55;66.10;50.48;80.59
2019;juli;64.98;62.49;57.43;81.32;64.87;62.17;57.43;81.90;66.73;64.46;57.63;82.25;68.73;66.87;61.04;84.70
2019;augusti;65.67;62.87;61.51;83.19;65.64;62.58;61.64;83.69;67.35;64.89;61.79;83.83;69.18;66.87;64.72;85.25
2019;september;63.30;61.22;57.93;81.53;63.27;60.91;57.96;83.45;64.91;63.36;58.65;80.82;67.01;65.72;61.96;86.10
